term: a, termFreq = 6523, docCount = 2081
term: additional, termFreq = 55, docCount = 54
term: additionally, termFreq = 1, docCount = 1
term: additions, termFreq = 9, docCount = 7
term: additive, termFreq = 2, docCount = 2
term: address, termFreq = 60, docCount = 41
term: addressable, termFreq = 5, docCount = 5
term: addressed, termFreq = 10, docCount = 10
term: addresses, termFreq = 14, docCount = 11
term: addressing, termFreq = 64, docCount = 35
term: adds, termFreq = 1, docCount = 1
term: adept, termFreq = 2, docCount = 1
term: adequacy, termFreq = 5, docCount = 5
term: adequate, termFreq = 9, docCount = 9
term: adequately, termFreq = 4, docCount = 4
term: adhering, termFreq = 1, docCount = 1
term: adi, termFreq = 1, docCount = 1
term: adjacencies, termFreq = 1, docCount = 1
term: adjacency, termFreq = 5, docCount = 5
term: adjacent, termFreq = 5, docCount = 5
term: adjoining, termFreq = 1, docCount = 1
term: adjoint, termFreq = 2, docCount = 2
term: adjoints, termFreq = 1, docCount = 1
term: adjudged, termFreq = 1, docCount = 1
term: adjust, termFreq = 7, docCount = 7
term: adjusted, termFreq = 1, docCount = 1
term: adjusting, termFreq = 1, docCount = 1
term: adjustment, termFreq = 5, docCount = 4
term: adjustments, termFreq = 2, docCount = 2
term: adleman, termFreq = 1, docCount = 1
term: adler, termFreq = 1, docCount = 1
term: administration, termFreq = 16, docCount = 11
term: administrative, termFreq = 5, docCount = 4
term: administrator, termFreq = 1, docCount = 1
term: administrators, termFreq = 4, docCount = 3
term: admirably, termFreq = 1, docCount = 1
term: admissible, termFreq = 3, docCount = 2
term: admission, termFreq = 4, docCount = 1
term: admissions, termFreq = 1, docCount = 1
term: admit, termFreq = 4, docCount = 3
term: admits, termFreq = 2, docCount = 2
term: admitting, termFreq = 1, docCount = 1
term: adopt, termFreq = 3, docCount = 2
term: adopted, termFreq = 4, docCount = 4
term: adoption, termFreq = 3, docCount = 2
term: adopts, termFreq = 1, docCount = 1
term: adorno, termFreq = 1, docCount = 1
term: adp, termFreq = 1, docCount = 1
term: adrams, termFreq = 1, docCount = 1
term: ads, termFreq = 3, docCount = 1
term: advance, termFreq = 4, docCount = 4
term: advanced, termFreq = 23, docCount = 19
term: advancement, termFreq = 2, docCount = 2
term: advancements, termFreq = 1, docCount = 1
term: advances, termFreq = 3, docCount = 3
term: advantage, termFreq = 33, docCount = 31
term: advantageous, termFreq = 6, docCount = 5
term: advantages, termFreq = 50, docCount = 46
term: advent, termFreq = 3, docCount = 3
term: adversely, termFreq = 2, docCount = 2
term: advi, termFreq = 1, docCount = 1
term: advice, termFreq = 1, docCount = 1
term: advocated, termFreq = 3, docCount = 3
term: aed, termFreq = 5, docCount = 2
term: aegerter, termFreq = 1, docCount = 1
term: aeronautics, termFreq = 2, docCount = 1
term: aesthetics, termFreq = 1, docCount = 1
term: affairs, termFreq = 1, docCount = 1
term: affect, termFreq = 7, docCount = 7
term: affected, termFreq = 2, docCount = 2
term: affecting, termFreq = 3, docCount = 3
term: affects, termFreq = 7, docCount = 6
term: affirmative, termFreq = 4, docCount = 3
term: affix, termFreq = 7, docCount = 1
term: afford, termFreq = 1, docCount = 1
term: affords, termFreq = 1, docCount = 1
term: after, termFreq = 35, docCount = 33
term: again, termFreq = 4, docCount = 4
term: against, termFreq = 28, docCount = 19
term: age, termFreq = 1, docCount = 1
term: agement, termFreq = 1, docCount = 1
term: agencies, termFreq = 6, docCount = 4
term: agency, termFreq = 1, docCount = 1
term: agenda, termFreq = 4, docCount = 2
term: agents, termFreq = 1, docCount = 1
term: ages, termFreq = 1, docCount = 1
term: aggravated, termFreq = 1, docCount = 1
term: aggregate, termFreq = 3, docCount = 2
term: aggregated, termFreq = 1, docCount = 1
term: aggregates, termFreq = 1, docCount = 1
term: aggregation, termFreq = 8, docCount = 2
term: aggregations, termFreq = 2, docCount = 1
term: aging, termFreq = 1, docCount = 1
term: agnew, termFreq = 1, docCount = 1
term: ago, termFreq = 4, docCount = 3
term: agree, termFreq = 1, docCount = 1
term: agreed, termFreq = 1, docCount = 1
term: agreement, termFreq = 3, docCount = 2
term: agrees, termFreq = 1, docCount = 1
term: ahead, termFreq = 1, docCount = 1
term: aho, termFreq = 2, docCount = 2
term: ahrens, termFreq = 7, docCount = 5
term: ai, termFreq = 3, docCount = 2
term: aid, termFreq = 42, docCount = 39
term: aided, termFreq = 28, docCount = 17
term: aiding, termFreq = 1, docCount = 1
term: aids, termFreq = 17, docCount = 15
term: aigner, termFreq = 1, docCount = 1
term: aim, termFreq = 9, docCount = 9
term: aimed, termFreq = 3, docCount = 3
term: aiming, termFreq = 1, docCount = 1
term: aims, termFreq = 3, docCount = 3
term: air, termFreq = 4, docCount = 4
term: aircraft, termFreq = 2, docCount = 2
term: aird, termFreq = 1, docCount = 1
term: airline, termFreq = 1, docCount = 1
term: airliner, termFreq = 1, docCount = 1
term: airlines, termFreq = 1, docCount = 1
term: airy, termFreq = 2, docCount = 2
term: aitken, termFreq = 2, docCount = 2
term: akima, termFreq = 3, docCount = 3
term: akin, termFreq = 2, docCount = 2
term: al, termFreq = 5, docCount = 5
term: alan, termFreq = 1, docCount = 1
term: alarm, termFreq = 2, docCount = 2
term: albany, termFreq = 1, docCount = 1
term: albeit, termFreq = 1, docCount = 1
term: alberga, termFreq = 1, docCount = 1
term: alcor, termFreq = 5, docCount = 4
term: aldep, termFreq = 1, docCount = 1
term: alerted, termFreq = 2, docCount = 2
term: alexander, termFreq = 3, docCount = 3
term: alg, termFreq = 2, docCount = 1
term: algebra, termFreq = 45, docCount = 30
term: algebraic, termFreq = 83, docCount = 52
term: algebraically, termFreq = 3, docCount = 2
term: algem, termFreq = 4, docCount = 1
term: algol, termFreq = 196, docCount = 129
term: algorithm, termFreq = 1621, docCount = 1205
term: algorithmic, termFreq = 17, docCount = 15
term: algorithmically, termFreq = 1, docCount = 1
term: algorithms, termFreq = 376, docCount = 216
term: aliasing, termFreq = 3, docCount = 1
term: alien, termFreq = 1, docCount = 1
term: aligning, termFreq = 1, docCount = 1
term: alignment, termFreq = 4, docCount = 2
term: alike, termFreq = 1, docCount = 1
term: all, termFreq = 224, docCount = 186
term: allard, termFreq = 1, docCount = 1
term: alleged, termFreq = 1, docCount = 1
term: allegedly, termFreq = 1, docCount = 1
term: allen, termFreq = 3, docCount = 3
term: alleviate, termFreq = 2, docCount = 2
term: alleviated, termFreq = 1, docCount = 1
term: allocate, termFreq = 3, docCount = 3
term: allocated, termFreq = 9, docCount = 7
term: allocates, termFreq = 2, docCount = 2
term: allocating, termFreq = 7, docCount = 7
term: allocation, termFreq = 207, docCount = 104
term: allocations, termFreq = 2, docCount = 2
term: allocator, termFreq = 1, docCount = 1
term: allow, termFreq = 44, docCount = 41
term: allowable, termFreq = 5, docCount = 4
term: allowed, termFreq = 11, docCount = 11
term: allowing, termFreq = 15, docCount = 15
term: allows, termFreq = 73, docCount = 71
term: almost, termFreq = 22, docCount = 19
term: alocation, termFreq = 1, docCount = 1
term: alone, termFreq = 6, docCount = 6
term: along, termFreq = 26, docCount = 25
term: aloof, termFreq = 1, docCount = 1
term: alpak, termFreq = 1, docCount = 1
term: alpha, termFreq = 5, docCount = 4
term: alphabet, termFreq = 4, docCount = 3
term: alphabetic, termFreq = 7, docCount = 7
term: alphabetical, termFreq = 1, docCount = 1
term: alphabets, termFreq = 4, docCount = 2
term: alphameric, termFreq = 3, docCount = 2
term: alphanumeric, termFreq = 8, docCount = 8
term: alphard, termFreq = 3, docCount = 1
term: already, termFreq = 17, docCount = 16
term: also, termFreq = 258, docCount = 232
term: alt, termFreq = 2, docCount = 2
term: alter, termFreq = 3, docCount = 3
term: alteration, termFreq = 2, docCount = 2
term: alterations, termFreq = 3, docCount = 3
term: altered, termFreq = 6, docCount = 5
term: alternate, termFreq = 10, docCount = 9
term: alternately, termFreq = 1, docCount = 1
term: alternating, termFreq = 3, docCount = 2
term: alternative, termFreq = 42, docCount = 39
term: alternatively, termFreq = 1, docCount = 1
term: alternatives, termFreq = 16, docCount = 11
term: althm, termFreq = 1, docCount = 1
term: although, termFreq = 58, docCount = 55
term: altogether, termFreq = 1, docCount = 1
term: altran, termFreq = 2, docCount = 1
term: always, termFreq = 20, docCount = 19
term: am, termFreq = 987, docCount = 987
term: amarel, termFreq = 1, docCount = 1
term: ambiguities, termFreq = 11, docCount = 9
term: ambiguity, termFreq = 15, docCount = 12
term: ambiguous, termFreq = 10, docCount = 7
term: ambit, termFreq = 5, docCount = 1
term: ambitious, termFreq = 2, docCount = 2
term: amenable, termFreq = 1, docCount = 1
term: amended, termFreq = 1, docCount = 1
term: amendment, termFreq = 1, docCount = 1
term: american, termFreq = 53, docCount = 43
term: amesplot, termFreq = 4, docCount = 1
term: amidon, termFreq = 1, docCount = 1
term: amit, termFreq = 1, docCount = 1
term: ammunition, termFreq = 1, docCount = 1
term: among, termFreq = 57, docCount = 47
term: amos, termFreq = 1, docCount = 1
term: amount, termFreq = 50, docCount = 45
term: amounts, termFreq = 7, docCount = 6
term: amphisbaenic, termFreq = 2, docCount = 1
term: amplified, termFreq = 1, docCount = 1
term: amplitude, termFreq = 1, docCount = 1
term: amplitudes, termFreq = 1, docCount = 1
term: amps, termFreq = 1, docCount = 1
term: an, termFreq = 1402, docCount = 893
term: analog, termFreq = 5, docCount = 5
term: analogies, termFreq = 3, docCount = 2
term: analogous, termFreq = 6, docCount = 6
term: analogues, termFreq = 2, docCount = 2
term: analogy, termFreq = 5, docCount = 4
term: analyses, termFreq = 15, docCount = 10
term: analysis, termFreq = 460, docCount = 276
term: analyst, termFreq = 6, docCount = 5
term: analysts, termFreq = 2, docCount = 2
term: analytic, termFreq = 26, docCount = 18
term: analytical, termFreq = 23, docCount = 18
term: analytically, termFreq = 6, docCount = 6
term: analyzable, termFreq = 1, docCount = 1
term: analyze, termFreq = 10, docCount = 10
term: analyzed, termFreq = 56, docCount = 53
term: analyzer, termFreq = 26, docCount = 12
term: analyzers, termFreq = 1, docCount = 1
term: analyzes, termFreq = 6, docCount = 6
term: analyzing, termFreq = 20, docCount = 19
term: anarc, termFreq = 1, docCount = 1
term: anatomy, termFreq = 2, docCount = 2
term: ancestor, termFreq = 3, docCount = 3
term: ancient, termFreq = 1, docCount = 1
term: ancients, termFreq = 1, docCount = 1
term: and, termFreq = 4607, docCount = 1574
term: anderson, termFreq = 7, docCount = 7
term: andrejkova, termFreq = 1, docCount = 1
term: andrews, termFreq = 1, docCount = 1
term: andries, termFreq = 1, docCount = 1
term: andrus, termFreq = 1, docCount = 1
term: anew, termFreq = 1, docCount = 1
term: angeles, termFreq = 1, docCount = 1
term: angle, termFreq = 12, docCount = 6
term: angles, termFreq = 2, docCount = 2
term: angular, termFreq = 1, docCount = 1
term: animal, termFreq = 1, docCount = 1
term: animating, termFreq = 1, docCount = 1
term: animation, termFreq = 10, docCount = 2
term: animator, termFreq = 4, docCount = 2
term: anketell, termFreq = 1, docCount = 1
term: anlytic, termFreq = 1, docCount = 1
term: annexed, termFreq = 1, docCount = 1
term: anniversary, termFreq = 1, docCount = 1
term: annotated, termFreq = 1, docCount = 1
term: annotation, termFreq = 1, docCount = 1
term: announced, termFreq = 3, docCount = 3
term: annoyance, termFreq = 1, docCount = 1
term: annual, termFreq = 2, docCount = 1
term: anomalies, termFreq = 3, docCount = 2
term: anomalous, termFreq = 5, docCount = 3
term: anomaly, termFreq = 9, docCount = 5
term: another, termFreq = 58, docCount = 55
term: anpak, termFreq = 1, docCount = 1
term: ans, termFreq = 2, docCount = 2
term: ansi, termFreq = 4, docCount = 4
term: anstey, termFreq = 1, docCount = 1
term: answer, termFreq = 13, docCount = 12
term: answerable, termFreq = 3, docCount = 1
term: answered, termFreq = 3, docCount = 1
term: answering, termFreq = 29, docCount = 13
term: answers, termFreq = 9, docCount = 8
term: anticipate, termFreq = 1, docCount = 1
term: anticipated, termFreq = 4, docCount = 4
term: anticipatory, termFreq = 2, docCount = 1
term: antilogy, termFreq = 1, docCount = 1
term: any, termFreq = 208, docCount = 179
term: anyone, termFreq = 4, docCount = 4
term: anything, termFreq = 2, docCount = 2
term: anywhere, termFreq = 3, docCount = 3
term: aparel, termFreq = 3, docCount = 1
term: apart, termFreq = 4, docCount = 4
term: aperture, termFreq = 7, docCount = 1
term: apertures, termFreq = 1, docCount = 1
term: apl, termFreq = 9, docCount = 3
term: apld, termFreq = 2, docCount = 1
term: apparent, termFreq = 4, docCount = 4
term: apparently, termFreq = 2, docCount = 2
term: appealing, termFreq = 1, docCount = 1
term: appear, termFreq = 15, docCount = 14
term: appearance, termFreq = 2, docCount = 2
term: appearances, termFreq = 1, docCount = 1
term: appeared, termFreq = 2, docCount = 2
term: appearing, termFreq = 5, docCount = 5
term: appears, termFreq = 26, docCount = 26
term: appel, termFreq = 1, docCount = 1
term: appended, termFreq = 3, docCount = 3
term: appendices, termFreq = 1, docCount = 1
term: appendix, termFreq = 10, docCount = 9
term: appendixes, termFreq = 2, docCount = 2
term: applicabilities, termFreq = 1, docCount = 1
term: applicability, termFreq = 17, docCount = 15
term: applicable, termFreq = 48, docCount = 48
term: application, termFreq = 144, docCount = 124
term: applications, termFreq = 136, docCount = 114
term: applicative, termFreq = 5, docCount = 4
term: applied, termFreq = 106, docCount = 100
term: applies, termFreq = 10, docCount = 10
term: apply, termFreq = 6, docCount = 6
term: applying, termFreq = 10, docCount = 9
term: appointed, termFreq = 1, docCount = 1
term: appointment, termFreq = 5, docCount = 1
term: apportioned, termFreq = 1, docCount = 1
term: appraisal, termFreq = 1, docCount = 1
term: appraise, termFreq = 1, docCount = 1
term: appraised, termFreq = 1, docCount = 1
term: appreciation, termFreq = 6, docCount = 3
term: approach, termFreq = 130, docCount = 110
term: approached, termFreq = 1, docCount = 1
term: approaches, termFreq = 29, docCount = 24
term: approaching, termFreq = 4, docCount = 2
term: appropriate, termFreq = 38, docCount = 36
term: appropriately, termFreq = 3, docCount = 3
term: appropriateness, termFreq = 3, docCount = 3
term: approximants, termFreq = 3, docCount = 2
term: approximate, termFreq = 31, docCount = 25
term: approximated, termFreq = 2, docCount = 2
term: approximately, termFreq = 20, docCount = 20
term: approximates, termFreq = 3, docCount = 3
term: approximating, termFreq = 13, docCount = 13
term: approximation, termFreq = 101, docCount = 67
term: approximations, termFreq = 40, docCount = 29
term: apr, termFreq = 3, docCount = 3
term: april, termFreq = 302, docCount = 302
term: apt, termFreq = 4, docCount = 1
term: aquatic, termFreq = 1, docCount = 1
term: ar, termFreq = 1, docCount = 1
term: aramaki, termFreq = 1, docCount = 1
term: arbib, termFreq = 1, docCount = 1
term: arbitrarily, termFreq = 7, docCount = 7
term: arbitrary, termFreq = 55, docCount = 51
term: arbitration, termFreq = 2, docCount = 1
term: arborescence, termFreq = 2, docCount = 1
term: arccosin, termFreq = 1, docCount = 1
term: arccossin, termFreq = 1, docCount = 1
term: archaeology, termFreq = 3, docCount = 2
term: archambault, termFreq = 1, docCount = 1
term: archimedian, termFreq = 1, docCount = 1
term: architectural, termFreq = 3, docCount = 3
term: architecture, termFreq = 39, docCount = 23
term: architectures, termFreq = 6, docCount = 6
term: arcs, termFreq = 9, docCount = 7
term: arctangent, termFreq = 1, docCount = 1
term: arctangents, termFreq = 1, docCount = 1
term: ard, termFreq = 3, docCount = 3
term: arden, termFreq = 7, docCount = 7
term: ardizationof, termFreq = 1, docCount = 1
term: are, termFreq = 1988, docCount = 1028
term: area, termFreq = 69, docCount = 41
term: areas, termFreq = 38, docCount = 30
term: areext, termFreq = 1, docCount = 1
term: argentina, termFreq = 2, docCount = 1
term: argentine, termFreq = 2, docCount = 1
term: argue, termFreq = 1, docCount = 1
term: argued, termFreq = 11, docCount = 11
term: argues, termFreq = 2, docCount = 2
term: argument, termFreq = 15, docCount = 14
term: arguments, termFreq = 17, docCount = 15
term: arise, termFreq = 16, docCount = 16
term: arises, termFreq = 6, docCount = 6
term: arising, termFreq = 7, docCount = 7
term: arithmetic, termFreq = 158, docCount = 87
term: arithmetizing, termFreq = 2, docCount = 2
term: arm, termFreq = 3, docCount = 2
term: armament, termFreq = 1, docCount = 1
term: armerding, termFreq = 1, docCount = 1
term: armies, termFreq = 1, docCount = 1
term: army, termFreq = 1, docCount = 1
term: aroian, termFreq = 1, docCount = 1
term: aronofsky, termFreq = 1, docCount = 1
term: arora, termFreq = 1, docCount = 1
term: arose, termFreq = 1, docCount = 1
term: around, termFreq = 8, docCount = 8
term: arpa, termFreq = 6, docCount = 5
term: arpanet, termFreq = 4, docCount = 1
term: arrange, termFreq = 2, docCount = 2
term: arranged, termFreq = 8, docCount = 8
term: arrangement, termFreq = 11, docCount = 10
term: arrangements, termFreq = 6, docCount = 4
term: arranging, termFreq = 1, docCount = 1
term: array, termFreq = 64, docCount = 34
term: arrays, termFreq = 51, docCount = 26
term: arrhythmias, termFreq = 1, docCount = 1
term: arrival, termFreq = 4, docCount = 4
term: arrivals, termFreq = 1, docCount = 1
term: arrive, termFreq = 5, docCount = 5
term: arrives, termFreq = 2, docCount = 2
term: arriving, termFreq = 5, docCount = 3
term: arrow, termFreq = 2, docCount = 2
term: arsac, termFreq = 1, docCount = 1
term: art, termFreq = 8, docCount = 8
term: arterial, termFreq = 2, docCount = 1
term: arthur, termFreq = 1, docCount = 1
term: arthurs, termFreq = 1, docCount = 1
term: article, termFreq = 19, docCount = 18
term: articles, termFreq = 2, docCount = 2
term: articulation, termFreq = 2, docCount = 2
term: artificial, termFreq = 39, docCount = 35
term: artificially, termFreq = 1, docCount = 1
term: artistic, termFreq = 1, docCount = 1
term: arts, termFreq = 3, docCount = 2
term: artzy, termFreq = 1, docCount = 1
term: ary, termFreq = 5, docCount = 4
term: as, termFreq = 961, docCount = 623
term: asa, termFreq = 8, docCount = 8
term: ascending, termFreq = 4, docCount = 3
term: ascertain, termFreq = 2, docCount = 2
term: ascertained, termFreq = 1, docCount = 1
term: ascertaining, termFreq = 2, docCount = 2
term: ascii, termFreq = 11, docCount = 8
term: ashcrof, termFreq = 1, docCount = 1
term: ashenhurst, termFreq = 3, docCount = 3
term: aside, termFreq = 1, docCount = 1
term: ask, termFreq = 1, docCount = 1
term: asked, termFreq = 3, docCount = 2
term: asks, termFreq = 1, docCount = 1
term: asp, termFreq = 5, docCount = 1
term: aspect, termFreq = 5, docCount = 5
term: aspects, termFreq = 57, docCount = 51
term: assemble, termFreq = 2, docCount = 2
term: assembled, termFreq = 3, docCount = 3
term: assembler, termFreq = 10, docCount = 6
term: assemblers, termFreq = 6, docCount = 6
term: assemblies, termFreq = 1, docCount = 1
term: assembling, termFreq = 2, docCount = 2
term: assembly, termFreq = 40, docCount = 25
term: asserted, termFreq = 2, docCount = 2
term: assertion, termFreq = 10, docCount = 6
term: assertions, termFreq = 22, docCount = 11
term: assess, termFreq = 2, docCount = 2
term: assessed, termFreq = 4, docCount = 4
term: assesses, termFreq = 1, docCount = 1
term: assessing, termFreq = 1, docCount = 1
term: assessment, termFreq = 5, docCount = 5
term: assign, termFreq = 7, docCount = 7
term: assigned, termFreq = 15, docCount = 14
term: assigning, termFreq = 5, docCount = 4
term: assignment, termFreq = 51, docCount = 38
term: assignments, termFreq = 5, docCount = 4
term: assigns, termFreq = 4, docCount = 3
term: assimilator, termFreq = 1, docCount = 1
term: assist, termFreq = 13, docCount = 10
term: assistance, termFreq = 7, docCount = 4
term: assistant, termFreq = 4, docCount = 2
term: assistants, termFreq = 1, docCount = 1
term: assisted, termFreq = 13, docCount = 9
term: assisting, termFreq = 1, docCount = 1
term: assoc, termFreq = 1, docCount = 1
term: associate, termFreq = 5, docCount = 5
term: associated, termFreq = 68, docCount = 59
term: associates, termFreq = 4, docCount = 4
term: associating, termFreq = 3, docCount = 3
term: association, termFreq = 9, docCount = 8
term: associative, termFreq = 29, docCount = 14
term: associatively, termFreq = 1, docCount = 1
term: assorted, termFreq = 2, docCount = 2
term: assume, termFreq = 8, docCount = 8
term: assumed, termFreq = 25, docCount = 22
term: assumes, termFreq = 5, docCount = 5
term: assuming, termFreq = 10, docCount = 10
term: assumption, termFreq = 18, docCount = 17
term: assumptions, termFreq = 14, docCount = 12
term: assure, termFreq = 4, docCount = 4
term: assures, termFreq = 1, docCount = 1
term: asterionella, termFreq = 1, docCount = 1
term: astrahan, termFreq = 2, docCount = 2
term: astronautics, termFreq = 1, docCount = 1
term: astronomy, termFreq = 1, docCount = 1
term: asymmetric, termFreq = 5, docCount = 3
term: asymptotic, termFreq = 12, docCount = 11
term: asymptotically, termFreq = 8, docCount = 8
term: asynchronous, termFreq = 10, docCount = 8
term: at, termFreq = 373, docCount = 294
term: atchison, termFreq = 2, docCount = 2
term: ative, termFreq = 2, docCount = 2
term: atkins, termFreq = 1, docCount = 1
term: atkinson, termFreq = 1, docCount = 1
term: atlas, termFreq = 10, docCount = 6
term: atmospheres, termFreq = 1, docCount = 1
term: atom, termFreq = 2, docCount = 2
term: atomic, termFreq = 1, docCount = 1
term: atoms, termFreq = 6, docCount = 3
term: attach, termFreq = 1, docCount = 1
term: attached, termFreq = 5, docCount = 5
term: attachment, termFreq = 1, docCount = 1
term: attacked, termFreq = 2, docCount = 2
term: attacking, termFreq = 3, docCount = 3
term: attain, termFreq = 1, docCount = 1
term: attainable, termFreq = 1, docCount = 1
term: attained, termFreq = 5, docCount = 5
term: attaining, termFreq = 1, docCount = 1
term: attempt, termFreq = 29, docCount = 29
term: attempted, termFreq = 8, docCount = 8
term: attempting, termFreq = 5, docCount = 5
term: attempts, termFreq = 11, docCount = 11
term: attendant, termFreq = 1, docCount = 1
term: attendees, termFreq = 1, docCount = 1
term: attention, termFreq = 20, docCount = 20
